,fit_KD,fit_KD_std,true_KD
180,4.54090961097e-08,1.85489732044e-81,3.97088007178e-08
181,1.48398178897e-10,1.64984080717e-37,1.56126426653e-10
182,8.20891415964e-05,7.92729544137e-67,1.98053626235e-05
183,3.49025487896e-06,0.0,2.92840839864e-06
184,3.98107170553e-10,0.0,4.16864077354e-10
185,5.17947467923e-06,0.0,3.3997619038e-06
186,1.14062492385e-05,0.0,6.84689922716e-06
187,1.93069772888e-09,0.0,2.08741141767e-09
188,2.86512026966e-09,0.0,3.04958932035e-09
189,2.35195263507e-06,0.0,1.99642409632e-06
190,8.76712387297e-10,0.0,1.0481357201e-09
191,8.20891415964e-05,0.0,1.93783892542e-05
192,1.21818791201e-07,0.0,1.1025538571e-07
193,1.93069772888e-09,0.0,2.39149033781e-09
194,7.19685673001e-10,0.0,8.74134444207e-10
195,7.19685673001e-10,0.0,8.30646063064e-10
196,1.14062492385e-05,6.77495779124e-46,7.20742385908e-06
